YEAR,dma_code,weight,HINCP_ADJ,AGEP,RAC1P,ESR
2008,500,0.002,75157.1082,60.0,1.0,1.0
2008,500,0.002,77703.0807,50.0,1.0,1.0
2008,500,0.002,55502.2005,57.0,1.0,1.0
2008,500,0.002,31529.32344,75.0,1.0,6.0
2008,500,0.002,84526.287,43.0,1.0,1.0
2008,500,0.002,31712.63346,57.0,1.0,6.0
2008,500,0.002,0.0,23.0,1.0,6.0
2008,500,0.002,63241.9569,47.0,1.0,1.0
2008,500,0.002,32384.7702,25.0,1.0,6.0
2008,500,0.002,12016.9902,28.0,1.0,3.0
2008,500,0.002,71389.0689,72.0,1.0,6.0
2008,500,0.002,80452.731,48.0,1.0,1.0
2008,500,0.002,96746.955,51.0,1.0,1.0
2008,500,0.002,42772.337999999996,33.0,1.0,6.0
2008,500,0.002,32588.448,37.0,1.0,1.0
2008,500,0.002,73324.008,64.0,1.0,1.0
2008,500,0.002,33841.06647,57.0,1.0,1.0
2008,500,0.002,136158.6093,55.0,1.0,1.0
2008,500,0.002,171496.7076,68.0,1.0,1.0
2008,500,0.002,60899.6622,73.0,1.0,6.0
2008,500,0.002,109792.51809,48.0,1.0,1.0
2008,500,0.002,108967.62299999999,37.0,1.0,1.0
2008,500,0.002,25154.2083,55.0,1.0,6.0
2008,500,0.002,23422.947,28.0,1.0,1.0
2008,500,0.002,88599.843,36.0,1.0,4.0
2008,500,0.002,101329.7055,51.0,1.0,1.0
2008,500,0.002,40735.56,31.0,1.0,1.0
2008,500,0.002,27038.22795,55.0,1.0,1.0
2008,500,0.002,82591.3479,30.0,1.0,1.0
2008,500,0.002,85544.67599999999,44.0,1.0,1.0
2008,500,0.002,101838.9,43.0,1.0,1.0
2008,500,0.002,88599.843,59.0,1.0,1.0
2008,500,0.002,39717.171,62.0,1.0,1.0
2008,500,0.002,20775.1356,36.0,1.0,1.0
2008,500,0.002,27496.503,50.0,1.0,6.0
2008,500,0.002,113550.3735,18.0,1.0,1.0
2008,500,0.002,95423.0493,53.0,1.0,1.0
2008,500,0.002,7739.7564,55.0,1.0,6.0
2008,500,0.002,20876.9745,80.0,1.0,6.0
2008,500,0.002,59575.756499999996,22.0,1.0,1.0
2008,500,0.002,17007.0963,69.0,1.0,6.0
2008,500,0.002,167423.1516,54.0,1.0,1.0
2008,500,0.002,119253.3519,43.0,1.0,1.0
2008,500,0.002,91655.01,49.0,1.0,1.0
2008,500,0.002,63038.2791,29.0,1.0,1.0
2008,500,0.002,11507.7957,75.0,1.0,6.0
2008,500,0.002,94710.177,41.0,1.0,1.0
2008,500,0.002,76379.175,41.0,1.0,1.0
2008,500,0.002,66195.285,79.0,1.0,6.0
2008,500,0.002,77631.79347,44.0,1.0,1.0
2008,500,0.002,31977.4146,83.0,1.0,6.0
2008,500,0.002,20367.78,89.0,1.0,6.0
2008,500,0.002,20367.78,70.0,1.0,6.0
2008,500,0.002,29533.281,70.0,1.0,6.0
2008,500,0.002,31570.059,20.0,1.0,6.0
2008,500,0.002,52956.228,74.0,1.0,1.0
