store_code_uc,year,parent_code,retailer_code,channel_code,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,dma_code,dma_descr
1248449,2012,248,248,F,325.0,12.0,FL,91.0,OKALOOSA,686.0,MOBILE-PENSACOLA (FT WALTON BEACH) AL-FL
1248813,2012,5851,5851,M,323.0,12.0,FL,73.0,LEON,530.0,TALLAHASSEE-THOMASVILLE FL-GA
1249242,2012,844,29,F,307.0,13.0,GA,213.0,MURRAY,575.0,CHATTANOOGA TN
1249382,2012,9,9,F,900.0,6.0,CA,37.0,LOS ANGELES,803.0,LOS ANGELES CA
1250070,2012,130,130,F,379.0,47.0,TN,93.0,KNOX,557.0,KNOXVILLE TN
1250473,2012,6901,6901,M,124.0,36.0,NY,111.0,ULSTER,501.0,NEW YORK NY
1250509,2012,8106,8106,C,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
1250614,2012,32,32,F,199.0,10.0,DE,1.0,KENT,504.0,PHILADELPHIA PA
1251279,2012,6904,6904,M,11.0,25.0,MA,13.0,HAMPDEN,543.0,SPRINGFIELD-HOLYOKE MA
1251320,2012,174,174,F,541.0,55.0,WI,9.0,BROWN,658.0,GREEN BAY-APPLETON WI
1251330,2012,4904,4904,D,535.0,55.0,WI,105.0,ROCK,669.0,MADISON WI
1251823,2012,32,32,F,212.0,24.0,MD,5.0,BALTIMORE,512.0,BALTIMORE MD
1251949,2012,32,32,F,981.0,53.0,WA,33.0,KING,819.0,SEATTLE-TACOMA WA
1252488,2012,6904,6904,M,974.0,41.0,OR,19.0,DOUGLAS,801.0,EUGENE OR
1252606,2012,4901,4901,D,926.0,6.0,CA,59.0,ORANGE,803.0,LOS ANGELES CA
1252909,2012,130,130,F,760.0,48.0,TX,221.0,HOOD,623.0,DALLAS-FT WORTH TX
1252927,2012,8106,8106,C,27.0,25.0,MA,5.0,BRISTOL,521.0,PROVIDENCE-NEW BEDFORD RI-MA
1253009,2012,4901,4901,D,933.0,6.0,CA,29.0,KERN,800.0,BAKERSFIELD CA
1253244,2012,130,130,F,454.0,39.0,OH,113.0,MONTGOMERY,542.0,DAYTON OH
1253272,2012,844,29,F,296.0,45.0,SC,73.0,OCONEE,567.0,GREENVILLE-SPARTANBURG SC-ASHEVILLE NC
1253294,2012,6904,6904,M,923.0,6.0,CA,71.0,SAN BRNRDINO,803.0,LOS ANGELES CA
1253354,2012,4904,4904,D,970.0,41.0,OR,5.0,CLACKAMAS,820.0,PORTLAND OR
1253697,2012,6904,6904,M,557.0,27.0,MN,137.0,SAINT LOUIS,676.0,DULUTH-SUPERIOR MN-WI
1253869,2012,5851,5851,M,560.0,27.0,MN,103.0,NICOLLET,613.0,MINNEAPOLIS-ST PAUL MN
1254644,2012,236,236,F,890.0,32.0,NV,3.0,CLARK,839.0,LAS VEGAS NV
1254724,2012,5851,5851,M,708.0,22.0,LA,33.0,E BATON RGE,716.0,BATON ROUGE LA
1254734,2012,6901,6901,M,770.0,48.0,TX,201.0,HARRIS,618.0,HOUSTON TX
1254861,2012,4901,4901,D,65.0,9.0,CT,9.0,NEW HAVEN,533.0,HARTFORD & NEW HAVEN CT
1255010,2012,6,6,F,604.0,17.0,IL,31.0,COOK,602.0,CHICAGO IL
1255264,2012,4901,4901,D,491.0,26.0,MI,21.0,BERRIEN,588.0,SOUTH BEND-ELKHART IN
1255377,2012,4901,4901,D,171.0,42.0,PA,43.0,DAUPHIN,566.0,HARRISBURG-LANCASTER-LEBANON-YORK PA
