,owner initial,2007,2008,owner last,,,,,
MOJAVE B,unknown,unknown,unknown,unknown,,,,,
MOJAVE C,unknown,unknown,unknown,unknown,,,,,
NBL-NO COMPANY LISTED B,unknown,unknown,unknown,unknown,,,,,
NBL-NO COMPANY LISTED C,unknown,unknown,unknown,unknown,,,,,
NUTTY GUYS.COM B,unknown,unknown,unknown,unknown,,,,,
OLD FASHIONED CANDY SHOP B,unknown,unknown,unknown,unknown,,,,,
PUMPKINHEADS B,unknown,unknown,unknown,unknown,,,,,
SCREECHERS B,unknown,unknown,unknown,unknown,,,,,
SPOOKY EYES B,unknown,unknown,unknown,unknown,,,,,
STARLINE SWEETS B,unknown,unknown,unknown,unknown,,,,,
STICK*FREE CS,unknown,unknown,unknown,unknown,,,,,
SWEET SPOT B,unknown,unknown,unknown,unknown,,,,,
THE CANDY SHOP B,unknown,unknown,unknown,unknown,,,,,
WORLD'S SPOOKY ROLLZ B,unknown,unknown,unknown,unknown,,,,,
GLEE GUM C,Verve,Verve,Verve,Verve,,,,,
ALTOIDS CS,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL CLUCKERS B,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL HUBBA BUBBA BUBBLE BP B,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL HUBBA BUBBA BUBBLE CN B,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL HUBBA BUBBA OUCH B,Wrigley,Wrigley,Mars,Mars,,,,,
AMUROL SANTA'S COAL B,Wrigley,Wrigley,Mars,Mars,,,,,
BIG LEAGUE CHEW B,Wrigley,Wrigley,Mars,Mars,,,,,
M&M MARS SKITTLES B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S 5 CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S BIG RED C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S DOUBLEMINT C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ECLIPSE BREEZE CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ECLIPSE CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ECLIPSE FUSION CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S EXTRA BS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S EXTRA CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S EXTRA FRUIT SNTNS CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S FREEDENT B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HB BBL TP BSK TRTS B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA BBL JG B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA BBL TP B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA CHNGRZ B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA GLOP B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA MAX B,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S HUBBA BUBBA OUCH! BS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S JUICY FRUIT C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S JUICY FRUIT CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S JUICY FRUIT SOURS C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ORBIT CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ORBIT MIST CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S ORBIT WHITE CS,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S SPEARMINT C,Wrigley,Wrigley,Mars,Mars,,,,,
WRIGLEY'S WINTERFRESH C,Wrigley,Wrigley,Mars,Mars,,,,,
POP ROCKS B,Zeta Espacial SA,Zeta Espacial SA,Zeta Espacial SA,Zeta Espacial SA,,,,,
=======,,,,,,,,,
brand_descr,owner initial,2007,2008,owner last,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
NEWTON'S CANDY STORE B,A Nut Above The Rest Inc,A Nut Above The Rest Inc,A Nut Above The Rest Inc,A Nut Above The Rest Inc,,,,,
BONUS! CS,Action Candy Company,Action Candy Company,Action Candy Company,Action Candy Company,,,,,
CANDY BREAK B,American Foods,American Foods,American Foods,American Foods,,,,,
CANDY BREAK DUBBLE BUBBLE B,American Foods,American Foods,American Foods,American Foods,,,,,
AU'SOME CANDIES-NBL B,Au'some,Au'some,Au'some,Au'some,,,,,
BRACH'S B,Brach's Confections,Farley's & Sathers,Farley's & Sathers,Farley's & Sathers,,,,,
BUBBLE BLAST BS,Brand New Products,Brand New Products,Brand New Products,Brand New Products,,,,,
C HOWARD C,C. Howard's,C. Howard's,C. Howard's,C. Howard's,,,,,
ADAMS BEEMANS C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BLACKJACK C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BUBBALOO B,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BUBBLICIOUS B,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BUBBLICIOUS BURSTS B,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS BUBBLICIOUS INK'D B,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS CHICLETS C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS CHICLETS CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS CLORETS C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE BLAST CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE C,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE FIRE CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
ADAMS DENTYNE ICE CS,Cadbury,Cadbury,Cadbury,Cadbury,,,,,
